Development Name	Borough	Account Name	Location	Meter AMR	Meter Scope	TDS #	EDP	RC Code	Funding Source	AMP #	Vendor Name	UMIS BILL ID	Revenue Month	Service Start Date	Service End Date	# days	Meter Number	Estimated	Current Charges	Rate Class	Bill Analyzed	Consumption (KWH)	KWH Charges	Consumption (KW)	KW Charges	Other charges
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4099483	2015-03-01	02/25/2015	03/26/2015	29	7518362	N	10022.29	GOV/NYC/068	Yes	70000	2856.7	136	2706.93	4458.66
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4154150	2015-04-01	03/26/2015	04/24/2015	29	7518362	N	12412.44	GOV/NYC/068	Yes	67600	2758.76	140	2706.93	6946.75
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4221023	2015-05-01	04/24/2015	05/26/2015	32	7518362	N	9818.47	GOV/NYC/068	Yes	76400	3117.88	156	2706.93	3993.66
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4284272	2015-06-01	05/26/2015	06/24/2015	29	7518362	N	11935.84	GOV/NYC/068	Yes	88000	4038.32	220	3482.6	4414.92
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4421271	2015-07-01	06/24/2015	07/24/2015	30	7518362	N	14822.75	GOV/NYC/068	Yes	109200	5011.19	240	3799.2	6012.36
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4421675	2015-08-01	07/24/2015	08/24/2015	31	7518362	N	14062.18	GOV/NYC/068	Yes	119600	5488.44	232	3672.56	4901.18
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4558322	2015-09-01	08/24/2015	09/23/2015	30	7518362	Y	12044.49	GOV/NYC/068	Yes	93200	4276.95	224	3545.92	4221.62
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4559056	2015-10-01	09/23/2015	10/23/2015	30	7518362	Y	9476.7	GOV/NYC/068	Yes	87600	3574.96	156	2849.4	3052.34
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4620650	2015-11-01	10/23/2015	11/23/2015	31	7518362	N	8081.61	GOV/NYC/068	Yes	73600	3003.62	136	2849.4	2228.59
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4831472	2015-12-01	11/23/2015	12/24/2015	31	7518362	Y	8828.43	GOV/NYC/068	Yes	74800	3052.59	144	2849.4	2926.44
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4831568	2016-01-01	12/24/2015	01/26/2016	33	7518362	Y	9134.41	GOV/NYC/068	Yes	79600	3248.48	152	2849.4	3036.53
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4897930	2016-02-01	01/26/2016	02/25/2016	30	7518362	Y	8294.08	GOV/NYC/068	Yes	72400	2954.64	152	2849.4	2490.04
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4898156	2016-03-01	02/25/2016	03/25/2016	29	7518362	Y	8067.32	GOV/NYC/068	Yes	65200	2335.46	132	2640.6	3091.26
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	4978181	2016-04-01	03/25/2016	04/25/2016	31	7518362	N	7795.42	GOV/NYC/068	Yes	68800	2464.42	128	2640.6	2690.4
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5057725	2016-05-01	04/25/2016	05/24/2016	29	7518362	N	7502.1	GOV/NYC/068	Yes	64800	2321.14	140	2640.6	2540.36
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5128069	2016-06-01	05/24/2016	06/23/2016	30	7518362	N	10095.07	GOV/NYC/068	Yes	88800	3632.81	184	2699.28	3762.98
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5203064	2016-07-01	06/23/2016	07/25/2016	32	7518362	N	13485.31	GOV/NYC/068	Yes	120800	4941.93	232	3403.44	5139.94
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5272914	2016-08-01	07/25/2016	08/23/2016	29	7518362	N	13025.81	GOV/NYC/068	Yes	120400	4925.56	236	3462.12	4638.13
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	5351325	2016-09-01	08/23/2016	09/22/2016	30	7518362	N	12322.3	GOV/NYC/068	Yes	106400	4352.82	216	3168.72	4800.76
